taxon	max	min
Archeorhinotermes_rossi	99.6	93.5
Archotermopsis_tornquisti	38	33.9
Hodotermopsis_iwatensis	11.608	5.333
Parotermes_insignis	37.2	33.9
Zootermopsis_coloradensis	37.2	33.9
Cratomastotermes_wolfschwenningeri	122.46	112.03
Calcaritermes_vetus	23.03	15.97
Cryptotermes_glaesarius	20.44	13.82
Cryptotermes_ryshkoffi	20.43	15.97
Cryptotermes_yamini	20.44	13.82
Electrotermes_affinis	38	33.9
Electrotermes_flecki	55.8	48.6
Electrotermes_girardi	38	33.9
Eotermes_grandaeva	28.1	23.03
Glyptotermes_grimaldii	20.44	13.82
Glyptotermes_paleoliberatus	20.44	13.82
Glyptotermes_pusillus	0.0117	0
Glyptotermes_shandongianus	20.44	15.97
Glyptotermites_assmuthi	15.97	13.65
Huguenotermes_septimaniensis	38	33.9
Incisitermes_krishnai	23.03	15.97
Incisitermes_peritus	20.44	13.82
Kachinitermes_tristis	99.6	93.5
Kachinitermopsis_burmensis	99.6	93.5
Kalotermes_disruptus	38	33.9
Kalotermes_fossus	20.44	15.97
Kalotermes_nigellus	20.44	15.97
Kalotermes_nisus	20.44	15.97
Kalotermes_piacentinii	61.6	59.2
Kalotermes_rhenanus	28.1	23.03
Neotermes_grassei	61.6	59.2
Oligokalotermes_fischeri	28.1	23.03
Otagotermes_novazealandicus	23.03	20.44
Proelectrotermes_berendtii	38	33.9
Proelectrotermes_fodinae	37.2	33.9
Proelectrotermes_holmgreni	99.6	93.5
Proelectrotermes_roseni	15.97	13.65
Proelectrotermes_swinhoei	99.6	93.5
Prokalotermes_alderensis	33.3	30.8
Prokalotermes_hagenii	37.2	33.9
Pterotermopsis_fouldenica	23.03	20.44
Taieritermes_krishnai	23.03	20.44
Anisotermes_xiai	99.6	93.5
Blattotermes_massiliensis	28.1	23.03
Blattotermes_neoxenus	56	47.8
Blattotermes_wheeleri	55.8	48.6
Garmitermes_succineus	38	33.9
Khanitermes_acutipennis	125	113
Mastotermes_aethiopicus	23.03	15.97
Mastotermes_anglicus	38	33.9
Mastotermes_bournemouthensis	47.8	41.3
Mastotermes_croaticus	12.7	11.608
Mastotermes_electrodominicus	20.44	13.82
Mastotermes_electromexicus	23.03	15.97
Mastotermes_gallica	28.1	23.03
Mastotermes_haidingeri	12.7	11.608
Mastotermes_heerii	11.608	5.333
Mastotermes_krishnorum	48.6	40.4
Mastotermes_minor	12.7	11.608
Mastotermes_minutus	55.8	48.6
Mastotermes_monostichus	99.6	93.5
Mastotermes_nepropadyom	129.4	125
Mastotermes_picardi	28.4	23.03
Mastotermes_sarthensis	99.6	93.5
Mastotermites_stuttgartensis	15.97	13.65
Miotermes_insignis	12.7	11.608
Miotermes_procerus	12.7	11.608
Miotermes_randeckensis	15.97	13.65
Miotermes_spectabilis	12.7	11.608
Spargotermes_costalimai	38	33.9
Valditermes_brenanae	136.4	130
Coptotermes_hirsutus	20.44	13.82
Coptotermes_paleodominicanus	20.44	13.82
Coptotermes_priscus	20.44	13.82
Coptotermes_sucineus	23.03	15.97
Dolichorhinotermes_apopnus	23.03	15.97
Dolichorhinotermes_dominicanus	20.44	13.82
Heterotermes_eocenicus	38	33.9
Heterotermes_primaevus	23.03	15.97
Reticulitermes_antiquus	38	33.9
Reticulitermes_creedei	28.4	23.03
Reticulitermes_dofleini	15.97	13.65
Reticulitermes_fossarum	37.2	33.9
Reticulitermes_hartungi	12.7	11.608
Reticulitermes_holmgreni	28.1	23.03
Reticulitermes_laurae	20.43	15.97
Reticulitermes_minimus	38	33.9
Reticulitermes_pliozaenicus	3.6	2.588
Rhinotermes_miocenicus	7.246	5.333
Rhinotermites_dzierzoni	15.97	13.65
Rhinotermites_kuehni	15.97	13.65
Rhinotermites_wasmanni	15.97	13.65
Zophotermes_ashoki	56	47.8
Chilgatermes_diamatensis	28.1	23.03
Stolotermes_amanoi	11.608	5.333
Stolotermes_kupe	23.03	20.44
Parastylotermes_calico	20.43	15.97
Parastylotermes_frazieri	23.03	15.97
Parastylotermes_krishnai	56	47.8
Parastylotermes_robustus	38	33.9
Parastylotermes_washingtonensis	15.97	13.82
Prostylotermes_kamboja	56	47.8
Anoplotermes_bohio	20.44	13.82
Anoplotermes_cacique	20.44	13.82
Anoplotermes_carib	20.44	13.82
Anoplotermes_maboya	20.44	13.82
Anoplotermes_naboria	20.44	13.82
Anoplotermes_nitaino	20.44	13.82
Anoplotermes_quisqueya	20.44	13.82
Anoplotermes_taino	20.44	13.82
Macrotermes_pristinus	12.7	11.608
Macrotermes_scheuthlei	15.97	5.333
Atlantitermes_antillea	20.44	13.82
Atlantitermes_caribea	20.44	13.82
Atlantitermes_magnoculus	20.44	13.82
Caribitermes_hispaniola	20.44	13.82
Constrictotermes_electroconstrictus	20.44	13.82
Nasutitermes_amplioculatus	20.44	13.82
Nasutitermes_crinitus	20.44	13.82
Nasutitermes_electrinus	23.03	15.97
Nasutitermes_electronasutus	20.44	13.82
Nasutitermes_incisus	20.44	13.82
Nasutitermes_magnocellus	20.44	13.82
Nasutitermes_medioculatus	20.44	13.82
Nasutitermes_rotundicephalus	20.44	13.82
Nasutitermes_seminudus	20.44	13.82
Parvitermes_longinasus	20.44	13.82
Subulitermes_hispaniola	20.44	13.82
Subulitermes_insularis	20.44	13.82
Velocitermes_bulbus	20.44	13.82
Amitermes_lucidus	20.44	13.82
Gnathamitermes_rousei	20.43	15.97
Microcerotermes_insulanus	20.44	13.82
Microcerotermes_setosus	20.44	13.82
Termes_primitivus	20.44	13.82
Termes_siruguei	28.1	23.03
Metatermites_statzi	15.97	13.65
Nanotermes_isaacae	56	47.8
Termopsis_bremii	38	33.9
Termopsis_gracilipennis	33.9	28.4
Termopsis_mallaszi	12.7	11.608
Termopsis_transsylvanica	12.7	11.608
Termopsis_ukapirmasi	38	33.9
Acanthotermes_acanthothorax	0.0	0.0
Acholotermes_chirotus	0.0	0.0
Aciculitermes_aciculatus	0.0	0.0
Aciculitermes_maymyoensis	0.0	0.0
Acidnotermes_praus	0.0	0.0
Aderitotermes_cf._fossor_BDIT074	0.0	0.0
Agnathotermes_crassinasus	0.0	0.0
Agnathotermes_glaber	0.0	0.0
Allodontermes_schultzei	0.0	0.0
Allodontermes_tenax	0.0	0.0
Alyscotermes_kilimandjaricus	0.0	0.0
Amalotermes_phaeocephalus	0.0	0.0
Amitermes_capito	0.0	0.0
Amitermes_dentatus	0.0	0.0
Amitermes_evuncifer	0.0	0.0
Amitermes_meridionalis	0.0	0.0
Amitermes_obeuntis	0.0	0.0
Amitermes_silvestrianus	0.0	0.0
Amplucrutermes_inflatus	0.0	0.0
Ancistrotermes_cavithorax	0.0	0.0
Ancistrotermes_crucifer	0.0	0.0
Ancistrotermes_pakistanicus	0.0	0.0
Anenteotermes_cf._polyscolus_BDIT101	0.0	0.0
Angularitermes_nasutissimus	0.0	0.0
Anhangatermes_macarthuri	0.0	0.0
Anoplotermes_banksi	0.0	0.0
Anoplotermes_janus	0.0	0.0
Anoplotermes_jheringi	0.0	0.0
Anoplotermes_nigripunctatus	0.0	0.0
Anoplotermes_parvus	0.0	0.0
Anoplotermes_pseudobanksi	0.0	0.0
Antillitermes_subtilis	0.0	0.0
Aparatermes_abbreviatus	0.0	0.0
Aparatermes_cingulatus	0.0	0.0
Apicotermitinae_gen._A_sp._TB-2017	0.0	0.0
Araujotermes_caissara	0.0	0.0
Araujotermes_parvellus	0.0	0.0
Archotermopsis_wroughtoni	0.0	0.0
Astalotermes_murcus	0.0	0.0
Astalotermes_quietus	0.0	0.0
Astratotermes_sp.	0.0	0.0
Ateuchotermes_retifaciens	0.0	0.0
Atlantitermes_oculatissimus	0.0	0.0
Atlantitermes_snyderi	0.0	0.0
Basidentitermes_aurivillii	0.0	0.0
Blattella_germanica	0.0	0.0
Bulbitermes_laticephalus	0.0	0.0
Bulbitermes_makhamensis	0.0	0.0
Bulbitermes_sarawakensis	0.0	0.0
Bulbitermes_singaporiensis	0.0	0.0
Caetetermes_taquarussu	0.0	0.0
Calcaritermes_emarginicollis	0.0	0.0
Calcaritermes_temnocephalus	0.0	0.0
Caribitermes_discolor	0.0	0.0
Cavitermes_parmae	0.0	0.0
Cavitermes_tuberosus	0.0	0.0
Cephalotermes_rectangularis	0.0	0.0
Coatitermes_clevelandi	0.0	0.0
Coatitermes_kartaboensis	0.0	0.0
Comatermes_perfectus	0.0	0.0
Compositermes_vindai	0.0	0.0
Constrictotermes_cavifrons	0.0	0.0
Constrictotermes_cyphergaster	0.0	0.0
Convexitermes_manni	0.0	0.0
Coptotermes_acinaciformis	0.0	0.0
Coptotermes_amanii	0.0	0.0
Coptotermes_brunneus	0.0	0.0
Coptotermes_curvignathus	0.0	0.0
Coptotermes_dreghorni	0.0	0.0
Coptotermes_elisae	0.0	0.0
Coptotermes_formosanus	0.0	0.0
Coptotermes_frenchi	0.0	0.0
Coptotermes_gestroi	0.0	0.0
Coptotermes_heimi	0.0	0.0
Coptotermes_hekouensis	0.0	0.0
Coptotermes_kalshoveni	0.0	0.0
Coptotermes_lacteus	0.0	0.0
Coptotermes_michaelseni	0.0	0.0
Coptotermes_remotus	0.0	0.0
Coptotermes_sepangensis	0.0	0.0
Coptotermes_sjoestedti	0.0	0.0
Coptotermes_suzhouensis	0.0	0.0
Coptotermes_testaceus	0.0	0.0
Coptotermes_travians	0.0	0.0
Coptotermes_truncatus	0.0	0.0
Cornitermes_acignathus	0.0	0.0
Cornitermes_bequaerti	0.0	0.0
Cornitermes_bolivianus	0.0	0.0
Cornitermes_cumulans	0.0	0.0
Cornitermes_pugnax	0.0	0.0
Cornitermes_silvestrii	0.0	0.0
Crenetermes_albotarsalis	0.0	0.0
Crepititermes_verruculosus	0.0	0.0
Cryptocercus_relictus	0.0	0.0
Cryptotermes_brevis	0.0	0.0
Cryptotermes_cavifrons	0.0	0.0
Cryptotermes_declivis	0.0	0.0
Cryptotermes_domesticus	0.0	0.0
Cryptotermes_secundus	0.0	0.0
Cubitermes_fulvus	0.0	0.0
Cubitermes_fungifaber	0.0	0.0
Cubitermes_oblectatus	0.0	0.0
Cubitermes_sulcifrons	0.0	0.0
Cubitermes_ugandensis	0.0	0.0
Cylindrotermes_parvignathus	0.0	0.0
Cyranotermes_timuassu	0.0	0.0
Cyrilliotermes_angulariceps	0.0	0.0
Dicuspiditermes_nemorosus	0.0	0.0
Dihoplotermes_sp._A_TB-2017	0.0	0.0
Disjunctitermes_insularis	0.0	0.0
Diversitermes_diversimiles	0.0	0.0
Diwaitermes_kanehirae	0.0	0.0
Drepanotermes_sp._SLC-2012	0.0	0.0
Duplidentitermes_sp._TB-2014	0.0	0.0
Embiratermes_brevinasus	0.0	0.0
Embiratermes_chagresi	0.0	0.0
Embiratermes_festivellus	0.0	0.0
Embiratermes_ignotus	0.0	0.0
Embiratermes_neotenicus	0.0	0.0
Embiratermes_silvestrii	0.0	0.0
Ephelotermes_melachoma	0.0	0.0
Ephelotermes_taylori	0.0	0.0
Euhamitermes_hamatus	0.0	0.0
Eupolyphaga_sinensis	0.0	0.0
Foraminitermes_rhinoceros	0.0	0.0
Foraminitermes_valens	0.0	0.0
Fulleritermes_tenebricus	0.0	0.0
Furculitermes_cubitalis	0.0	0.0
Furculitermes_longilabius	0.0	0.0
Furculitermes_soyeri	0.0	0.0
Furculitermes_winifredae	0.0	0.0
Globitermes_globosus	0.0	0.0
Globitermes_sulphureus	0.0	0.0
Glossotermes_occulatus	0.0	0.0
Glyptotermes_barbouri	0.0	0.0
Glyptotermes_satsumensis	0.0	0.0
Gnathamitermes_tubiformans	0.0	0.0
Grigiotermes_hageni	0.0	0.0
Havilanditermes_atripennis	0.0	0.0
Havilanditermes_proatripennis	0.0	0.0
Heterotermes_assu	0.0	0.0
Heterotermes_aureus	0.0	0.0
Heterotermes_cardini	0.0	0.0
Heterotermes_convexinotatus	0.0	0.0
Heterotermes_crinitus	0.0	0.0
Heterotermes_longiceps	0.0	0.0
Heterotermes_malabaricus	0.0	0.0
Heterotermes_sulcatus	0.0	0.0
Heterotermes_tenuior	0.0	0.0
Heterotermes_tenuis	0.0	0.0
Heterotermes_vagus	0.0	0.0
Heterotermes_validus	0.0	0.0
Hirtitermes_hirtiventris	0.0	0.0
Hodotermes_mossambicus	0.0	0.0
Hodotermopsis_sjostedti	0.0	0.0
Homallotermes_foraminifer	0.0	0.0
Hospitalitermes_hospitalis	0.0	0.0
Hospitalitermes_medioflavus	0.0	0.0
Hospitalitermes_umbrinus	0.0	0.0
Humutermes_krishnai	0.0	0.0
Hydrecotermes_kawaii	0.0	0.0
Hypotermes_makhamensis	0.0	0.0
Hypotermes_xenotermitis	0.0	0.0
Incisitermes_minor	0.0	0.0
Incisitermes_snyderi	0.0	0.0
Incisitermes_tabogae	0.0	0.0
Inquilinitermes_inquilinus	0.0	0.0
Jugositermes_tuberculatus	0.0	0.0
Kalotermes_flavicollis	0.0	0.0
Kemneritermes_sarawakensis	0.0	0.0
Krishnacapritermes_dineshan	0.0	0.0
Krishnacapritermes_thakuri	0.0	0.0
Labiotermes_emersoni	0.0	0.0
Labiotermes_labralis	0.0	0.0
Labritermes_buttelreepeni	0.0	0.0
Leptomyxotermes_doriae	0.0	0.0
Leucopitermes_leucops	0.0	0.0
Locusta_migratoria	0.0	0.0
Longipeditermes_longipes	0.0	0.0
Longustitermes_manni	0.0	0.0
Lophotermes_septentrionalis	0.0	0.0
Macrognathotermes_errator	0.0	0.0
Macrognathotermes_sunteri	0.0	0.0
Macrotermes_acrocephalus	0.0	0.0
Macrotermes_ahmadi	0.0	0.0
Macrotermes_annandalei	0.0	0.0
Macrotermes_barneyi	0.0	0.0
Macrotermes_bellicosus	0.0	0.0
Macrotermes_carbonarius	0.0	0.0
Macrotermes_chebalingensis	0.0	0.0
Macrotermes_choui	0.0	0.0
Macrotermes_declivatus	0.0	0.0
Macrotermes_falciger	0.0	0.0
Macrotermes_gilvus	0.0	0.0
Macrotermes_guangxiensis	0.0	0.0
Macrotermes_hainanensis	0.0	0.0
Macrotermes_herus	0.0	0.0
Macrotermes_incisus	0.0	0.0
Macrotermes_jeanneli	0.0	0.0
Macrotermes_jinghongensis	0.0	0.0
Macrotermes_lilljeborgi	0.0	0.0
Macrotermes_longimentis	0.0	0.0
Macrotermes_luokengensis	0.0	0.0
Macrotermes_malaccensis	0.0	0.0
Macrotermes_meidoensis	0.0	0.0
Macrotermes_menglongensis	0.0	0.0
Macrotermes_michaelseni	0.0	0.0
Macrotermes_muelleri	0.0	0.0
Macrotermes_natalensis	0.0	0.0
Macrotermes_nobilis	0.0	0.0
Macrotermes_orthognathus	0.0	0.0
Macrotermes_subhyalinus	0.0	0.0
Macrotermes_trimorphus	0.0	0.0
Macrotermes_vitrialatus	0.0	0.0
Macrotermes_yunnanensis	0.0	0.0
Macrotermes_zhejiangensis	0.0	0.0
Macrotermes_zhui	0.0	0.0
Marginitermes_hubbardi	0.0	0.0
Mastotermes_darwiniensis	0.0	0.0
Megacrania_alpheus	0.0	0.0
Microcerotermes_arboreus	0.0	0.0
Microcerotermes_baluchistanicus	0.0	0.0
Microcerotermes_biroi	0.0	0.0
Microcerotermes_crassus	0.0	0.0
Microcerotermes_diversus	0.0	0.0
Microcerotermes_exiguus	0.0	0.0
Microcerotermes_fuscotibialis	0.0	0.0
Microcerotermes_gabrielis	0.0	0.0
Microcerotermes_havilandi	0.0	0.0
Microcerotermes_nervosus	0.0	0.0
Microcerotermes_newmani	0.0	0.0
Microcerotermes_parvus	0.0	0.0
Microcerotermes_progrediens	0.0	0.0
Microcerotermes_septentrionalis	0.0	0.0
Microcerotermes_serrula	0.0	0.0
Microhodotermes_viator	0.0	0.0
Microtermes_obesi	0.0	0.0
Mirocapritermes_connectens	0.0	0.0
Nasutitermes_arborum	0.0	0.0
Nasutitermes_banksi	0.0	0.0
Nasutitermes_bikpelanus	0.0	0.0
Nasutitermes_brevipilus	0.0	0.0
Nasutitermes_corniger	0.0	0.0
Nasutitermes_diabolus	0.0	0.0
Nasutitermes_ephratae	0.0	0.0
Nasutitermes_exitiosus	0.0	0.0
Nasutitermes_graveolus	0.0	0.0
Nasutitermes_itapocuensis	0.0	0.0
Nasutitermes_jaraguae	0.0	0.0
Nasutitermes_latifrons	0.0	0.0
Nasutitermes_longinasus	0.0	0.0
Nasutitermes_longipennis	0.0	0.0
Nasutitermes_longirostris	0.0	0.0
Nasutitermes_lujae	0.0	0.0
Nasutitermes_macrocephalus	0.0	0.0
Nasutitermes_matangensis	0.0	0.0
Nasutitermes_neoparvus	0.0	0.0
Nasutitermes_octopilis	0.0	0.0
Nasutitermes_similis	0.0	0.0
Nasutitermes_takasagoensis	0.0	0.0
Nasutitermes_triodiae	0.0	0.0
Neocapritermes_angusticeps	0.0	0.0
Neocapritermes_araguaia	0.0	0.0
Neocapritermes_taracua	0.0	0.0
Neotermes_castaneus	0.0	0.0
Neotermes_chilensis	0.0	0.0
Neotermes_holmgreni	0.0	0.0
Neotermes_insularis	0.0	0.0
Neotermes_jouteli	0.0	0.0
Noditermes_cristifrons	0.0	0.0
Noditermes_lamanianus	0.0	0.0
Obtusitermes_bacchanalis	0.0	0.0
Obtusitermes_panamae	0.0	0.0
Occasitermes_occasus	0.0	0.0
Odontotermes_badius	0.0	0.0
Odontotermes_billitoni	0.0	0.0
Odontotermes_escherichi	0.0	0.0
Odontotermes_formosanus	0.0	0.0
Odontotermes_hainanensis	0.0	0.0
Odontotermes_javanicus	0.0	0.0
Odontotermes_latericius	0.0	0.0
Odontotermes_lokanandi	0.0	0.0
Odontotermes_longignathus	0.0	0.0
Odontotermes_malaccensis	0.0	0.0
Odontotermes_mathuri	0.0	0.0
Odontotermes_minutus	0.0	0.0
Odontotermes_nilensis	0.0	0.0
Odontotermes_obesus	0.0	0.0
Odontotermes_oblongatus	0.0	0.0
Odontotermes_paraoblongatus	0.0	0.0
Odontotermes_sarawakensis	0.0	0.0
Odontotermes_silvicolus	0.0	0.0
Odontotermes_transvaalensis	0.0	0.0
Ophiotermes_grandilabius	0.0	0.0
Ophiotermes_mirandus	0.0	0.0
Oriensubulitermes_inanis	0.0	0.0
Orientotermes_emersoni	0.0	0.0
Orthognathotermes_aduncus	0.0	0.0
Orthotermes_depressifrons	0.0	0.0
Orthotermes_mansuetus	0.0	0.0
Paraconvexitermes_junceus	0.0	0.0
Parrhinotermes_aequalis	0.0	0.0
Parrhinotermes_browni	0.0	0.0
Parvitermes_brooksi	0.0	0.0
Patawatermes_nigripunctatus	0.0	0.0
Patawatermes_turricola	0.0	0.0
Pericapritermes_dolichocephalus	0.0	0.0
Pericapritermes_latignathus	0.0	0.0
Pericapritermes_nigerianus	0.0	0.0
Pericapritermes_nitobei	0.0	0.0
Periplaneta_fuliginosa	0.0	0.0
Planicapritermes_planiceps	0.0	0.0
Porotermes_adamsoni	0.0	0.0
Postelectrotermes_howa	0.0	0.0
Postsubulitermes_parviconstrictus	0.0	0.0
Proboscitermes_tubuliferus	0.0	0.0
Procapritermes_martyni	0.0	0.0
Procornitermes_araujoi	0.0	0.0
Procornitermes_lespesii	0.0	0.0
Procornitermes_triacifer	0.0	0.0
Procryptotermes_leewardensis	0.0	0.0
Procubitermes_arboricola	0.0	0.0
Procubitermes_undulans	0.0	0.0
Prohamitermes_mirabilis	0.0	0.0
Promirotermes_pygmaeus	0.0	0.0
Promirotermes_redundans	0.0	0.0
Prorhinotermes_canalifrons	0.0	0.0
Protermes_minutus	0.0	0.0
Protermes_prorepens	0.0	0.0
Pseudacanthotermes_militaris	0.0	0.0
Pseudacanthotermes_spiniger	0.0	0.0
Reticulitermes_aculabialis	0.0	0.0
Reticulitermes_amamianus	0.0	0.0
Reticulitermes_assamensis	0.0	0.0
Reticulitermes_balkanensis	0.0	0.0
Reticulitermes_banyulensis	0.0	0.0
Reticulitermes_chinensis	0.0	0.0
Reticulitermes_clypeatus	0.0	0.0
Reticulitermes_flaviceps	0.0	0.0
Reticulitermes_grassei	0.0	0.0
Reticulitermes_guangzhouensis	0.0	0.0
Reticulitermes_hageni	0.0	0.0
Reticulitermes_hesperus	0.0	0.0
Reticulitermes_jiangchengensis	0.0	0.0
Reticulitermes_kanmonensis	0.0	0.0
Reticulitermes_khaoyaiensis	0.0	0.0
Reticulitermes_labralis	0.0	0.0
Reticulitermes_leptomandibularis	0.0	0.0
Reticulitermes_lucifugus	0.0	0.0
Reticulitermes_malletei	0.0	0.0
Reticulitermes_miyatakei	0.0	0.0
Reticulitermes_nelsonae	0.0	0.0
Reticulitermes_nsolytgm	0.0	0.0
Reticulitermes_okinawanus	0.0	0.0
Reticulitermes_periflaviceps	0.0	0.0
Reticulitermes_perilabralis	0.0	0.0
Reticulitermes_qingjiangensis	0.0	0.0
Reticulitermes_santonensis	0.0	0.0
Reticulitermes_tibetanus	0.0	0.0
Reticulitermes_tibialis	0.0	0.0
Reticulitermes_urbis	0.0	0.0
Reticulitermes_virginicus	0.0	0.0
Reticulitermes_yaeyamanus	0.0	0.0
Rhinotermes_hispidus	0.0	0.0
Rhinotermes_marginalis	0.0	0.0
Rhynchotermes_nasutissimus	0.0	0.0
Rhynchotermes_perarmatus	0.0	0.0
Roisinitermes_ebogoensis	0.0	0.0
Rubeotermes_jheringi	0.0	0.0
Rugitermes_panamae	0.0	0.0
Rugitermes_unicolor	0.0	0.0
Ruptitermes_arboreus	0.0	0.0
Sandsitermes_robustus	0.0	0.0
Scallopitermes_giblini	0.0	0.0
Schedorhinotermes_lamanianus	0.0	0.0
Schedorhinotermes_longirostris	0.0	0.0
Schedorhinotermes_medioobscurus	0.0	0.0
Schedorhinotermes_putorius	0.0	0.0
Schedorhinotermes_sarawakensis	0.0	0.0
Schedorhinotermes_translucens	0.0	0.0
Sclerophasma_paresisensis	0.0	0.0
Serritermes_serrifer	0.0	0.0
Silvestritermes_euamignathus	0.0	0.0
Silvestritermes_heyeri	0.0	0.0
Silvestritermes_minutus	0.0	0.0
Sinocapritermes_mushae	0.0	0.0
Sinqasapatermes_sachae	0.0	0.0
Sphaerotermes_sphaerothorax	0.0	0.0
Spinitermes_longiceps	0.0	0.0
Spinitermes_trispinosus	0.0	0.0
Subulitermes_denisae	0.0	0.0
Subulitermes_microsoma	0.0	0.0
Synacanthotermes_heterodon	0.0	0.0
Synacanthotermes_zanzibarensis	0.0	0.0
Syntermes_crassilabrum	0.0	0.0
Syntermes_grandis	0.0	0.0
Syntermes_molestus	0.0	0.0
Syntermes_spinosus	0.0	0.0
Tamolanica_tamolana	0.0	0.0
Termes_comis	0.0	0.0
Termes_fatalis	0.0	0.0
Termes_hispaniolae	0.0	0.0
Termes_hospes	0.0	0.0
Termes_rostratus	0.0	0.0
Termitogeton_planus	0.0	0.0
Tetimatermes_sp.	0.0	0.0
Thoracotermes_macrothorax	0.0	0.0
Triangularitermes_triangulariceps	0.0	0.0
Trichotermes_ducis	0.0	0.0
Trinervitermes_bettonianus	0.0	0.0
Trinervitermes_geminatus	0.0	0.0
Trinervitermes_occidentalis	0.0	0.0
Trinervitermes_oeconomus	0.0	0.0
Trinervitermes_togoensis	0.0	0.0
Trinervitermes_trinervoides	0.0	0.0
Tuberculitermes_bycanistes	0.0	0.0
Tumulitermes_pastinator	0.0	0.0
Tumulitermes_recalvus	0.0	0.0
Velocitermes_barrocoloradensis	0.0	0.0
Nasutitermes_sp_fossil	23.44 13.82
Obtusitermes_sp	0.0 0.0
Postsubulitermes_sp	0.0 0.0
Subulitermes_baileyi	0.0 0.0
Subulitermes_fossil	23.44 13.82
Trinervitermes_sp	0.0 0.0
Tumulitermes_apiocephalus	0.0 0.0
Velocitermes_sp	23.44 13.82
Dolichorhinotermes_longilabius	0.0 0.0
Heterotermes_platycephalus	0.0 0.0
Parrhinotermes_microdentiformis	0.0 0.0
Prorhinotermes_flavus	0.0 0.0
Reticulitermes_flavipes	0.0 0.0
Rhinotermes_sp	0.0 0.0
Schedorhinotermes_breinli	0.0 0.0
Schedorhinotermes_sp	0.0 0.0
Termitogeton_umblicautus	0.0 0.0
Paracurvitermes_manni	0.0 0.0
Procornitermes_sp	0.0 0.0
Syntermes_sp	0.0 0.0
Allodontermes_sp	0.0 0.0
Apilitermes_longiceps	0.0 0.0
Basidentitermes_sp	0.0 0.0
Cavitermes_sp	0.0 0.0
Cubitermes_sp	0.0 0.0
Dihoplotermes_sp	0.0 0.0
Drepanotermes_rubriceps	0.0 0.0
Ephelotermes_argutus	0.0 0.0
Foraminitermes_tubifrons	0.0 0.0
Homallotermes_eleanorae	0.0 0.0
Hypotermes_obscuriceps	0.0 0.0
Macrotermes_sp	0.0 0.0
Microcerotermes_sp_fossil 15.97 5.33
Microcerotermes_sp_living	0.0 0.0
Microtermes_sp	0.0 0.0
Mirocapritermes_latignathus	0.0 0.0
Neocapritermes_longinotus 0.0 0.0
Odontotermes_sp	0.0 0.0
Orientotermes_sp	0.0 0.0
Orthotermes_sp	0.0 0.0
Pericapritermes_sp	0.0 0.0
Planicapritermes_sp	0.0 0.0
Procapritermes_sp	0.0 0.0
Promirotermes_connectens	0.0 0.0
Pseudacanthotermes_sp	0.0 0.0
Sphaerotermes_sp	0.0 0.0
Termes_sp	0.0 0.0
spinitermes_sp	0.0 0.0
